envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-30000	-30000	-30000	-30000	-30000	-30000	
11	-33000	-33000	-33000	-33000	-33000	-33000	
12	-12000	-36000	84000	-36000	-36000	-36000	
13	-15000	-39000	81000	-39000	-39000	-39000	
14	-18000	-42000	78000	-42000	-42000	-42000	
15	-21000	-45000	75000	-45000	-45000	-45000	
16	-24000	-48000	72000	-48000	-48000	-48000	
17	-3000	-51000	69000	69000	-51000	-51000	
18	18000	66000	66000	66000	-54000	-54000	
19	15000	63000	63000	63000	-57000	-57000	
20	12000	60000	60000	60000	-60000	-60000	
21	33000	177000	57000	57000	-63000	-63000	
22	30000	174000	54000	54000	-66000	-66000	
23	75000	291000	51000	171000	-69000	-69000	
24	72000	288000	48000	168000	-72000	-72000	
25	69000	285000	45000	165000	-75000	-75000	
26	90000	282000	162000	162000	-78000	-78000	
27	87000	279000	159000	159000	-81000	-81000	
28	84000	276000	156000	156000	-84000	-84000	
29	81000	273000	153000	153000	-87000	-87000	
30	102000	270000	150000	150000	-90000	30000	
31	99000	267000	147000	147000	-93000	27000	
32	96000	264000	144000	144000	-96000	24000	
33	117000	261000	261000	141000	-99000	21000	
34	114000	258000	258000	138000	-102000	18000	
35	111000	255000	255000	135000	-105000	15000	
36	108000	252000	252000	132000	-108000	12000	
37	129000	249000	249000	129000	9000	9000	
38	174000	246000	246000	246000	126000	6000	
39	171000	243000	243000	243000	123000	3000	
40	168000	240000	240000	240000	120000	0	
41	165000	237000	237000	237000	117000	-3000	
42	162000	234000	234000	234000	114000	-6000	
43	159000	231000	231000	231000	111000	-9000	
44	180000	228000	228000	228000	228000	-12000	
45	177000	225000	225000	225000	225000	-15000	
46	174000	222000	222000	222000	222000	-18000	
47	171000	219000	219000	219000	219000	-21000	
48	192000	216000	336000	216000	216000	-24000	
49	189000	213000	333000	213000	213000	-27000	
50	186000	210000	330000	210000	210000	-30000	
51	207000	207000	327000	207000	207000	87000	
52	204000	204000	324000	204000	204000	84000	
53	201000	201000	321000	201000	201000	81000	
54	198000	198000	318000	198000	198000	78000	
55	219000	315000	315000	195000	195000	75000	
56	216000	312000	312000	192000	192000	72000	
57	213000	309000	309000	189000	189000	69000	
58	210000	306000	306000	186000	186000	66000	
59	231000	303000	303000	183000	303000	63000	
60	252000	3e+05	3e+05	180000	420000	60000	
61	249000	297000	297000	177000	417000	57000	
62	246000	294000	294000	174000	414000	54000	
63	243000	291000	291000	171000	411000	51000	
64	264000	288000	408000	168000	408000	48000	
65	285000	285000	405000	165000	525000	45000	
66	306000	282000	402000	162000	642000	42000	
67	351000	399000	519000	159000	639000	39000	
68	372000	516000	516000	156000	636000	36000	
69	369000	513000	513000	153000	633000	33000	
70	390000	630000	510000	150000	630000	30000	
71	387000	627000	507000	147000	627000	27000	
72	384000	624000	504000	144000	624000	24000	
73	381000	621000	501000	141000	621000	21000	
74	378000	618000	498000	138000	618000	18000	
75	375000	615000	495000	135000	615000	15000	
