Feature	Gain	Cover	Frequency
ctrx_quarter	0.104635523704379	0.0161295080318504	0.0146246788037833
ctrx_quarter_lag1	0.0553404661130351	0.0103538796514053	0.0118819820312358
cpayroll_trx	0.0340312297668391	0.00915422329218811	0.00395003006943305
mcuentas_saldo_rank	0.0260416571167886	0.0128410682453039	0.0180781076303464
mpayroll_rank	0.0239507376662446	0.0188858753753018	0.00888415067519545
mpasivos_margen_rank	0.0235421648886203	0.0115464561533276	0.0205064421482332
mcaja_ahorro_rank	0.0220895491241002	0.00626660760719554	0.0138911668762415
mprestamos_personales_rank	0.0204304256982652	0.0103969983039153	0.00281103639312595
mcuenta_corriente_rank	0.0131714248961305	0.00701693435592467	0.0076267016565524
mtarjeta_visa_consumo_rank	0.0127619956252802	0.0106294164210527	0.0105151896196672
mpasivos_margen_rank_lag1	0.0100881555739325	0.00665709597550007	0.0102782789349954
mrentabilidad_annual_rank_delta1	0.00983517349210369	0.00559258685416027	0.0103785103785104
mrentabilidad_annual_rank_lag1	0.00969284539477389	0.00599221621760257	0.0117498587647841
mactivos_margen_rank	0.00943203400175812	0.00824007344489836	0.00906638966340459
numero_de_cliente	0.00941877018009632	0.00935773280491799	0.0122965757294116
mrentabilidad_annual_rank	0.00910217136997654	0.0058546621403908	0.00907094563810982
Visa_msaldopesos_rank	0.00891999951240237	0.00691144350677591	0.00906638966340459
cliente_edad_lag1	0.00878052252812137	0.00957928805255874	0.0131485429992893
mprestamos_personales_rank_lag1	0.00849044097708266	0.00390964332146972	0.00170849051446066
ctrx_quarter_delta1	0.00808291764137666	0.00700466858607509	0.008715579611102
cliente_edad	0.00786039798413041	0.00827978990310243	0.0110209028119476
mcuentas_saldo_rank_delta1	0.0077721078279146	0.00873459006411138	0.0117680826636051
chomebanking_transacciones	0.00728782600540743	0.00528251973395459	0.00774971297359357
Master_Fvencimiento	0.00697425993568601	0.00439925320354242	0.00882492300402748
mcomisiones_mantenimiento_rank	0.00694583881755844	0.00917250313646116	0.00800940353179159
Visa_status	0.00694460612986616	0.00306837952227453	0.00133945656333716
Master_fechaalta_lag1	0.00650015812657119	0.00516452432340682	0.00985001731270388
Visa_fechaalta_lag1	0.00638551474958915	0.00541163046192791	0.00843766515408306
Visa_Fvencimiento	0.00625109193636289	0.00537663033191625	0.0080914110764857
cproductos_delta1	0.00618858248812041	0.00747919675285336	0.00143057605744173
Visa_Fvencimiento_lag1	0.006119444575259	0.00679692266934528	0.00769959725183606
ccomisiones_mantenimiento_delta1	0.00604988337245927	0.00310058809323323	0.00210941628852077
Visa_mfinanciacion_limite_rank_delta1	0.00602718839490145	0.00445212914408622	0.00883403495343794
Master_Fvencimiento_lag1	0.00599589253484768	0.00521599970469133	0.00737612304776484
mcuenta_corriente_rank_lag1	0.00595148530912599	0.00579809117374713	0.00683396205784266
mcuenta_corriente_rank_delta1	0.00594768248605194	0.005839875793075	0.00679751426020083
mactivos_margen_rank_delta1	0.00592851053974524	0.00415180409480572	0.00795017586062362
Master_mlimitecompra_rank_delta1	0.00580438846915159	0.00419858402264928	0.00876113935815428
mrentabilidad_rank	0.00576787594771352	0.0030001222064527	0.00691141362783154
mcuentas_saldo_rank_lag1	0.00576432386532927	0.00505606730863914	0.00872013558580723
cproductos	0.00574486160889992	0.00589426037336696	0.00584075957210286
Visa_fechaalta	0.00561064869865965	0.00466503249006503	0.00844677710349352
Master_fechaalta	0.00550171639726295	0.00533106972366742	0.00937163996865489
mactivos_margen_rank_lag1	0.00544322015186344	0.00441425044437532	0.00689774570371585
Master_mfinanciacion_limite_rank_delta1	0.00541985954712047	0.00500262131179841	0.00846955697701966
mtransferencias_recibidas_rank	0.00538739826983263	0.00430620819336098	0.00695697337488382
cliente_antiguedad	0.00532073969850313	0.00765548071239872	0.010191715415596
Visa_mlimitecompra_rank_delta1	0.00530722881272426	0.00316567127628606	0.00785905636651905
Visa_mpagominimo_rank	0.00520597768567513	0.00573314572503572	0.00998214057915551
mcomisiones_mantenimiento_rank_delta1	0.00505694048897629	0.00655736616757249	0.00768137335301514
ctarjeta_visa_transacciones	0.00500283450255866	0.00647050788746914	0.00971789404625225
Master_status	0.0049932823587892	0.00246929015279479	0.000724399978131321
ctarjeta_master	0.0049799462041201	0.000720077868223075	0.000505713192280356
chomebanking_transacciones_lag1	0.00496511108591966	0.00322726349856639	0.00645126018260347
mpasivos_margen_rank_delta1	0.00492751434632998	0.00339335550702889	0.00710276456545113
mrentabilidad_rank_delta1	0.00487648007148612	0.0038637303786308	0.00733056330071256
mcaja_ahorro_rank_lag1	0.00472299132813206	0.00507746353870518	0.0106883166584659
Master_mlimitecompra_rank	0.00465778164845037	0.00394295981498498	0.00686129790607403
chomebanking_transacciones_delta1	0.00465444615688868	0.00407682549919547	0.00619156962440545
cpayroll_trx_lag1	0.00464729508014975	0.00372695432486604	0.00226431942849853
Master_mfinanciacion_limite_rank_lag1	0.00461518513918505	0.00323871573838236	0.00615056585205839
mcaja_ahorro_rank_delta1	0.00460381076124769	0.00477063005406472	0.00732600732600733
cliente_antiguedad_lag1	0.00460016694450551	0.00596405968952107	0.00815975069706413
Visa_mpagominimo_rank_lag1	0.00459431700928002	0.00397804480964043	0.00639658848614073
Visa_mfinanciacion_limite_rank_lag1	0.00441876708906777	0.00358131001337045	0.00554462121626301
Visa_mpagospesos_rank_delta1	0.0044103338311513	0.00338642723554606	0.00655604760082372
ccomisiones_otras	0.00438489434192857	0.0085997528260478	0.00598199478796494
Visa_msaldototal_rank	0.00437312775552516	0.00476645568904577	0.00770870920124651
Visa_mpagospesos_rank_lag1	0.00436753193545071	0.00412438735230874	0.00665627904433875
cprestamos_personales	0.00434836184705531	0.00381581248419587	0.000970422612213657
Visa_mfinanciacion_limite_rank	0.00432468211753562	0.00347995821774518	0.00590454321797605
Visa_mconsumospesos_rank_lag1	0.00429560271996605	0.00258459740259124	0.0056721885080094
Master_mfinanciacion_limite_rank	0.00423370154525834	0.00314324379447957	0.00665627904433875
mcomisiones_otras_rank	0.00409276808567201	0.0037215620058903	0.00674739853844331
mrentabilidad_rank_lag1	0.00405969037122853	0.00441537787604539	0.00591365516738651
Master_mlimitecompra_rank_lag1	0.00402435125245708	0.00325946504624422	0.00591365516738651
Visa_mlimitecompra_rank_lag1	0.0039400521965287	0.00311806513748511	0.00530771053159113
mcomisiones_rank	0.00392801670995626	0.00478759127735525	0.0062006815738159
mcaja_ahorro_dolares_rank_delta1	0.00390606824853131	0.0044794393668234	0.00388624642355986
mtransferencias_recibidas_rank_lag1	0.00384955748907618	0.00401916085164812	0.00576330800211397
mcomisiones_rank_delta1	0.00382438157699567	0.00298152319308253	0.00586809542033423
Visa_mconsumospesos_rank	0.00379029092768714	0.00354988180695238	0.0061368979279427
