Feature	Gain	Cover	Frequency
ctrx_quarter	0.103719052093889	0.0146064465742809	0.0153471874857896
ctrx_quarter_lag1	0.0615488571291659	0.011010792837924	0.0122732026738211
mcuentas_saldo_rank	0.0301301918254836	0.01188567292406	0.0160429266518121
cpayroll_trx	0.0284678942606204	0.00824629987185903	0.003355918330226
mcaja_ahorro_rank	0.0276389423682919	0.00775167904058909	0.0146059751716611
mpayroll_rank	0.0255218794045779	0.0204913069157367	0.0089081897139739
mprestamos_personales_rank	0.0222608231720795	0.0117427742626368	0.00326951934882452
mpasivos_margen_rank	0.020727761762399	0.0108929586394709	0.0186121595198036
mtarjeta_visa_consumo_rank	0.0132325554831776	0.00994968857702117	0.0106316220271929
mrentabilidad_annual_rank_delta1	0.0113897792327258	0.00623465634169539	0.0112364148970033
mrentabilidad_annual_rank_lag1	0.0105069240310216	0.00609597036931546	0.0119503433222682
cprestamos_personales	0.00900331747886784	0.00341807560993023	0.000882179073257242
mactivos_margen_rank	0.00884801343568686	0.00948312573373948	0.00971761175026147
numero_de_cliente	0.0085596585416146	0.00834636424600843	0.0115456323041244
ctrx_quarter_delta1	0.00821025777799432	0.00712730586087574	0.00857623573279978
cliente_edad_lag1	0.0080559025957683	0.00977009350882629	0.0119639852667
Visa_msaldopesos_rank	0.00805469609034264	0.0072774404720682	0.00844436360329226
mrentabilidad_annual_rank	0.00789298534357013	0.00513532076372863	0.00877177026965577
mcuentas_saldo_rank_delta1	0.0077965874991193	0.00954159180879077	0.0122732026738211
mcuenta_corriente_rank_lag1	0.00769864744350554	0.0060591933631249	0.00650720749397481
cliente_edad	0.00767372857114546	0.0079605980162855	0.0110999954526852
mcomisiones_mantenimiento_rank	0.00746980837827293	0.00961473284696505	0.00811240962211814
chomebanking_transacciones	0.00739643811932629	0.00511382654200671	0.00802601064071666
ctarjeta_visa_transacciones	0.00738839245415156	0.00690041028032778	0.00994497749079169
Master_Fvencimiento_lag1	0.006705296088547	0.00529020956685613	0.00771679323359556
mcuenta_corriente_rank	0.00656188510031492	0.00729552330382374	0.00777590832613342
Visa_fechaalta_lag1	0.00655615577427035	0.0059605887774793	0.00900368332499659
Master_fechaalta_lag1	0.00636282116887884	0.00603936042845393	0.0103496885089355
cproductos_delta1	0.00629731536900141	0.00728907319838838	0.00142785685052976
Master_Fvencimiento	0.00620206238219318	0.00366237596984105	0.008171524714656
mcomisiones_mantenimiento_rank_delta1	0.00610980750084694	0.00700376279775937	0.00814424082579237
mactivos_margen_rank_delta1	0.00600303738917971	0.00466944242861831	0.00816243008503479
Visa_mpagominimo_rank	0.00597581884220479	0.00586686436926812	0.0112000363785185
Visa_Fvencimiento_lag1	0.00591288951211519	0.00489891621242163	0.00721658860442908
Visa_mfinanciacion_limite_rank_delta1	0.00591094010557826	0.00469024529513085	0.00870810786230731
Visa_status	0.00583144510041974	0.00221510228649132	0.00121868036924196
Visa_Fvencimiento	0.00577437057117058	0.00501754838424735	0.00777590832613342
mactivos_margen_rank_lag1	0.00571854516482871	0.00453750509253098	0.00697103360465645
mcuentas_saldo_rank_lag1	0.00560614929665265	0.00552649282777552	0.00956755036151153
Visa_mlimitecompra_rank_delta1	0.00558997222307127	0.00359444807077815	0.00840343776999682
ccomisiones_mantenimiento_delta1	0.00549925453735357	0.00323991959349545	0.00182802055386294
Visa_fechaalta	0.00545992701366423	0.00453368111961706	0.00811240962211814
mcuenta_corriente_rank_delta1	0.00545976893568532	0.00503600095605544	0.0067072893456414
cliente_antiguedad_lag1	0.00544974534517351	0.00625913587198981	0.00950388795416307
Master_fechaalta	0.00541287258492148	0.00466103954794242	0.00887635851029967
mtransferencias_recibidas_rank	0.00536267713182865	0.00541833740662418	0.00741212314128507
Master_mlimitecompra_rank_delta1	0.00531578076927378	0.00356565255898136	0.00790778045564094
Master_mfinanciacion_limite_rank_delta1	0.00531198328036319	0.00426123512963146	0.00802146332590605
cliente_antiguedad	0.00526955782225889	0.00643684565717597	0.00949934063935246
