envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
134	1566000	1758000	1278000	1878000	1158000	1758000	
135	1563000	1755000	1275000	1875000	1155000	1755000	
136	1560000	1752000	1272000	1872000	1152000	1752000	
137	1557000	1749000	1269000	1869000	1149000	1749000	
138	1554000	1746000	1266000	1866000	1146000	1746000	
139	1575000	1743000	1263000	1863000	1263000	1743000	
140	1572000	1740000	1260000	1860000	1260000	1740000	
141	1593000	1737000	1377000	1857000	1257000	1737000	
142	1638000	1854000	1374000	1854000	1254000	1854000	
143	1659000	1851000	1371000	1851000	1251000	1971000	
144	1680000	1848000	1368000	1848000	1368000	1968000	
145	1701000	1965000	1365000	1845000	1365000	1965000	
146	1722000	1962000	1362000	1962000	1362000	1962000	
147	1767000	1959000	1359000	2079000	1359000	2079000	
148	1764000	1956000	1356000	2076000	1356000	2076000	
149	1761000	1953000	1353000	2073000	1353000	2073000	
150	1758000	1950000	1350000	2070000	1350000	2070000	
151	1755000	1947000	1347000	2067000	1347000	2067000	
152	1752000	1944000	1344000	2064000	1344000	2064000	
153	1749000	1941000	1341000	2061000	1341000	2061000	
154	1770000	1938000	1458000	2058000	1338000	2058000	
155	1815000	1935000	1575000	2175000	1335000	2055000	
156	1812000	1932000	1572000	2172000	1332000	2052000	
157	1833000	1929000	1569000	2289000	1329000	2049000	
158	1830000	1926000	1566000	2286000	1326000	2046000	
159	1827000	1923000	1563000	2283000	1323000	2043000	
160	1824000	1920000	1560000	2280000	1320000	2040000	
161	1845000	1917000	1557000	2277000	1317000	2157000	
162	1890000	1914000	1554000	2274000	1434000	2274000	
163	1887000	1911000	1551000	2271000	1431000	2271000	
164	1908000	1908000	1548000	2388000	1428000	2268000	
165	1929000	1905000	1545000	2385000	1545000	2265000	
166	1974000	2022000	1542000	2502000	1542000	2262000	
167	1971000	2019000	1539000	2499000	1539000	2259000	
168	1992000	2016000	1656000	2496000	1536000	2256000	
169	2013000	2013000	1773000	2493000	1533000	2253000	
