Feature	Gain	Cover	Frequency
ctrx_quarter	0.130909304294285	0.0252116160279114	0.014137261619276
mcuentas_saldo_rank	0.0565364648123573	0.012072781985508	0.0115793079821857
cpayroll_trx	0.02903990307404	0.00806492436407867	0.000616649537512847
mpasivos_margen_rank	0.0224655281775656	0.0106891223367894	0.0129724791595295
Visa_status_delta1	0.020186550637099	0.00258830317093652	0.000936393742149138
mpayroll_rank	0.0179604518955698	0.0111038631890248	0.00198698184309695
mprestamos_personales_rank	0.016265694028301	0.0159525807594927	0.00365421948155761
mrentabilidad_annual_rank	0.0148426094756706	0.00571989700790969	0.0105287198812379
cdescubierto_preacordado	0.0144797771324433	0.00754570957655102	0.00178143199725934
mrentabilidad_annual_rank_delta1	0.0119143041013546	0.0103185975705619	0.0162841155646911
numero_de_cliente	0.0113277280124901	0.00950112270639839	0.0173347036656389
mcuenta_corriente_rank	0.0102367906465437	0.00804225521666708	0.00940961516501085
ctrx_quarter_delta1	0.00946794419903261	0.0081359120117992	0.0122873130067375
cliente_edad_lag1	0.00943352648550733	0.00929331424830208	0.0137490007993605
mrentabilidad_rank	0.00915696970261126	0.00464814524185474	0.00829051044878383
mcuentas_saldo_rank_delta1	0.00914600038348743	0.00767267268236936	0.0134292565947242
mrentabilidad_annual_rank_lag1	0.00905618978636287	0.00655712565861218	0.0110083361881923
cliente_edad	0.00852953243369873	0.00617457817176388	0.0119218910585817
mactivos_margen_rank_lag1	0.00843958432013787	0.00568986204178864	0.00998058695900422
Master_Fvencimiento	0.0084219231290133	0.00668696177780066	0.0106200753682768
Master_mfinanciacion_limite_rank_delta1	0.00812767919326463	0.00645270465769804	0.0129496402877698
Visa_mlimitecompra_rank_delta1	0.00781890953178851	0.00633842992230483	0.0135891286970424
mactivos_margen_rank_delta1	0.00768480785005035	0.00649770020242318	0.0120817631608999
Visa_fechaalta	0.00766446685907577	0.00410953265148067	0.00721708347607628
Master_mlimitecompra_rank_delta1	0.00757776536868524	0.00797015462364748	0.0124700239808153
Visa_mfinanciacion_limite_rank_delta1	0.00739828644059561	0.00550421720779329	0.0134749343382437
chomebanking_transacciones	0.00718451341517798	0.00467218406629908	0.0110768528034715
mactivos_margen_rank	0.00704003015701673	0.00617192086598441	0.00831334932054357
Visa_mpagominimo_rank	0.00694625166291984	0.00708241863610255	0.00628068973392714
mcomisiones_mantenimiento_rank	0.0069373799298093	0.00819429598409953	0.00842754367934224
Visa_Fvencimiento_lag1	0.00688664038972891	0.00663247906916463	0.0108027863423547
mpasivos_margen_rank_lag1	0.00686910725300331	0.00660354381474814	0.0108713029576339
Visa_Fvencimiento	0.00669931090239412	0.00895221437948829	0.0101861368048418
cprestamos_personales_delta1	0.0065126662013169	0.00305399865550914	0.000936393742149138
Master_Fvencimiento_lag1	0.00633805743762754	0.00463398132564071	0.00648623957976476
mcomisiones_mantenimiento_rank_delta1	0.0062425708106969	0.00769000736783022	0.00986639260020555
mcaja_ahorro_rank	0.00620102355856436	0.00696745707715378	0.00988923147196529
cliente_antiguedad_lag1	0.00613906807293019	0.00522493410569814	0.00895283772981615
mpasivos_margen_rank_delta1	0.00598104118462607	0.00416381817955837	0.00899851547333562
mtarjeta_visa_consumo_rank	0.00583607061693579	0.0120146176908767	0.00500171291538198
mcuenta_corriente_rank_delta1	0.00580972166167603	0.00638632097751079	0.00984355372844582
cproductos_lag1	0.0057861085871214	0.00416764533509335	0.00379125271211602
chomebanking_transacciones_lag1	0.00576796143633187	0.00364945615114095	0.00929542080621217
Master_fechaalta_lag1	0.00572364118225767	0.0042788882539822	0.00733127783487496
Master_fechaalta	0.00570385066488136	0.00648875561588757	0.00840470480758251
mrentabilidad_rank_delta1	0.00568898444052811	0.00353640684660022	0.00940961516501085
mcaja_ahorro_rank_delta1	0.00561152805792965	0.00425746174109597	0.00849606029462145
ctarjeta_visa_transacciones	0.00559300441559146	0.00378594612165375	0.00554984583761562
chomebanking_transacciones_delta1	0.00555268516647461	0.00572810845330893	0.00966084275436793
Visa_msaldototal_rank	0.00547769730539554	0.00376037220024516	0.00447641886490807
cliente_antiguedad	0.00510187265986641	0.00486144167159821	0.00826767157702409
mcuenta_corriente_rank_lag1	0.00500896768781031	0.00728676121579426	0.0079479273723878
mcuentas_saldo_rank_lag1	0.00500042024782651	0.00535500313615016	0.0079479273723878
mrentabilidad_rank_lag1	0.00474623853831349	0.00589330341369358	0.00797076624414754
Visa_fechaalta_lag1	0.0047388651105978	0.00431671648391567	0.00616649537512847
mcomisiones_otras_rank_delta1	0.00470369630522812	0.0031656981334089	0.00687450039968026
mcomisiones_rank_delta1	0.00467596498477324	0.00270096473115783	0.00607513988808953
Visa_mpagominimo_rank_lag1	0.00464885544390141	0.00563553945964629	0.00596094552929085
cprestamos_personales	0.00459524392317071	0.00907916160499321	0.00198698184309695
ctrx_quarter_lag1	0.00456767981551916	0.010826692168615	0.0104145255224392
thomebanking	0.00456763054214326	0.0023774086385983	0.00109626584446728
Visa_mlimitecompra_rank	0.00456324328802172	0.00446930379880176	0.0069658558867192
Master_mfinanciacion_limite_rank_lag1	0.00448711960022104	0.00573394446849194	0.0061893342468882
Visa_mlimitecompra_rank_lag1	0.00447986714398692	0.00332728958600595	0.00678314491264132
mprestamos_personales_rank_delta1	0.00439839884685366	0.00848299081861682	0.00367705835331735
Master_mfinanciacion_limite_rank	0.00432152277683448	0.0042568304986374	0.00660043393856344
mcaja_ahorro_dolares_rank_delta1	0.00426080551929124	0.00371007395419614	0.00536713486353774
foto_mes	0.00408833798985645	0.0022297495143112	0.00374557496859655
mcaja_ahorro_rank_lag1	0.00404415753930171	0.00448146017872721	0.00776521639830992
mcomisiones_mantenimiento_rank_lag1	0.00403754540578988	0.00440080539021032	0.00666895055384264
Visa_msaldopesos_rank	0.00403451990678667	0.00394930690583802	0.00463629096722622
Visa_mfinanciacion_limite_rank_lag1	0.00402599208954175	0.00275870025732672	0.00545849035057668
Master_mlimitecompra_rank_lag1	0.00397320871140212	0.00277191797153261	0.00589242891401165
ccomisiones_otras	0.0039288644181077	0.00517387757468316	0.00493319630010278
Visa_msaldototal_rank_lag1	0.00389736299351064	0.00166022192378055	0.00328879753340185
mtransferencias_recibidas_rank_delta1	0.00389480095701372	0.00442344807043287	0.00664611168208291
mcomisiones_rank	0.0038835414629061	0.00302888923326819	0.00479616306954436
ccomisiones_otras_lag1	0.00387804326300763	0.00355759647814455	0.00536713486353774
Visa_mpagospesos_rank_delta1	0.00387620304759976	0.00249887715597222	0.00694301701495946
Visa_mpagospesos_rank_lag1	0.00387430611590027	0.00560010915703972	0.00771953865479045
tcallcenter	0.0038741394130628	0.000282342709148015	0.000616649537512847
mcomisiones_rank_lag1	0.00383184154469849	0.00531892968084995	0.00628068973392714
mtransferencias_recibidas_rank	0.00371869335485441	0.00526716118244983	0.00591526778577138
Master_mpagospesos_rank	0.00369211396533593	0.00355132110762349	0.00189562635605801
Master_mlimitecompra_rank	0.00365143774671317	0.00280053032624283	0.00628068973392714
mcomisiones_otras_rank	0.00360481433622758	0.00267237619691775	0.00518442388945986
cproductos	0.00343583038273849	0.00483965255822215	0.0039054470709147
mttarjeta_visa_debitos_automaticos_rank_delta1	0.00341699696203312	0.00278402406379888	0.00511590727418066
Visa_mfinanciacion_limite_rank	0.0034133183322605	0.00274849583259287	0.00534429599177801
Visa_mconsumospesos_rank_lag1	0.00340339017406097	0.00250220805171274	0.00591526778577138
Visa_mpagominimo_rank_delta1	0.00338859150560966	0.0032525250704096	0.00564120132465456
Visa_mconsumospesos_rank	0.00326204004904655	0.00254754502317647	0.00516158501770013
mtransferencias_recibidas_rank_lag1	0.00322248812789448	0.00360989696704435	0.00605230101632979
Visa_mpagospesos_rank	0.0031997859077532	0.00431178035315996	0.00497887404362225
cdescubierto_preacordado_delta1	0.00318920284202045	0.00776390772970445	0.00102774922918808
mtransferencias_emitidas_rank_delta1	0.0029979438914835	0.00248617158187423	0.00445357999314834
mcaja_ahorro_dolares_rank_lag1	0.00290621700389195	0.00265842534157548	0.00431654676258993
mcomisiones_otras_rank_lag1	0.00288477944542216	0.00254863547136486	0.00463629096722622
Visa_mconsumospesos_rank_delta1	0.00281223412650215	0.00166036881667972	0.0048190019413041
Visa_cconsumos_lag1	0.00265672731773234	0.00261598388059258	0.00415667466027178
mprestamos_personales_rank_lag1	0.00259577998372034	0.00638245941463005	0.00285485896996688
ctarjeta_visa_transacciones_lag1	0.00257666449160226	0.00404283665846276	0.00381409158387576
Visa_msaldopesos_rank_delta1	0.00256587795516935	0.00240022467890906	0.0043622245061094
mtransferencias_emitidas_rank	0.00253069918772494	0.00420359704132398	0.00424803014731072
cprestamos_personales_lag1	0.00243558316146763	0.0111202225585696	0.00246659815005139
Visa_cconsumos_delta1	0.00243498212628152	0.00380914328948666	0.00342583076396026
Master_fultimo_cierre_lag1	0.00241571183089782	0.00194533707098036	0.00401964142971337
Visa_fultimo_cierre	0.0024063148325729	0.00225610421779642	0.00406531917323284
ccomisiones_mantenimiento_delta1	0.00239845787607341	0.00394193314697186	0.00102774922918808
Master_fultimo_cierre	0.00239245701020733	0.00225166831691355	0.00415667466027178
Visa_msaldototal_rank_delta1	0.00238908514746375	0.00182331803607444	0.00379125271211602
mcaja_ahorro_dolares_rank	0.00236429922511315	0.00351487049487948	0.00408815804499258
mcuenta_debitos_automaticos_rank	0.00234403484591738	0.00375500597766758	0.00237524266301245
ccomisiones_otras_delta1	0.00228995691682684	0.00214596630404994	0.00296905332876556
mtarjeta_visa_consumo_rank_delta1	0.00219115037840997	0.00181057408455234	0.00372273609683682
Visa_fultimo_cierre_lag1	0.00218362393770456	0.00204946957953398	0.00372273609683682
ctarjeta_debito_transacciones_delta1	0.00214773826718285	0.00334516287876374	0.00328879753340185
Visa_cconsumos	0.00213529829658265	0.00194344996040191	0.00356286399451867
mpagomiscuentas_rank_delta1	0.00202006383326323	0.00223920491759525	0.00340299189220053
ctransferencias_recibidas	0.0019346130865443	0.00180543944987884	0.00347150850747973
mautoservicio_rank_delta1	0.00188403900254277	0.00169684986669112	0.00363138060979788
Visa_mconsumototal_rank_delta1	0.00181733994680824	0.0015673975217437	0.00303756994404476
ctransferencias_emitidas_delta1	0.00181672560223545	0.00535936625226318	0.00294621445700582
ccomisiones_mantenimiento	0.00178004677596553	0.0036367135229783	0.00107342697270755
mttarjeta_visa_debitos_automaticos_rank_lag1	0.00173856865091478	0.00194357567954984	0.00331163640516159
Master_mpagominimo_rank	0.00172983825621373	0.00130825065706914	0.0017585931254996
ctarjeta_visa_transacciones_delta1	0.00171154647980391	0.00250698934941257	0.00246659815005139
ctransferencias_recibidas_lag1	0.00171154543597774	0.00121130134362061	0.00310608655932397
mpagomiscuentas_rank	0.00169876139031356	0.00306649249209483	0.00212401507365536
ctarjeta_debito_transacciones_lag1	0.00168067943986986	0.00156572479539645	0.0035171862509992
mpayroll_rank_delta1	0.00168011688529356	0.00248983993427498	0.00248943702181112
mcuenta_debitos_automaticos_rank_delta1	0.00166120615733769	0.00329628592076609	0.00326595866164212
mautoservicio_rank	0.00164393681762606	0.00168827714416151	0.00285485896996688
mtransferencias_emitidas_rank_lag1	0.00161825830844168	0.00184604938138027	0.00365421948155761
ctarjeta_debito_transacciones	0.00159471820567768	0.00146847243263343	0.00303756994404476
ctransferencias_emitidas	0.00158701169307234	0.0015492794074873	0.00237524266301245
cmobile_app_trx_lag1	0.00157176660454019	0.00102598470276934	0.00223820943245404
ccaja_ahorro	0.00155212740866708	0.00314164739872949	0.00150736553614251
mautoservicio_rank_lag1	0.00154170033533212	0.00106821310288048	0.00317460317460317
mcuenta_debitos_automaticos_rank_lag1	0.00153230913825642	0.00185458901992359	0.0026036313806098
ccallcenter_transacciones	0.0015208838386699	0.00160402811137317	0.00114194358798675
ctarjeta_visa_debitos_automaticos_lag1	0.00151688880740673	0.00122312820704253	0.00219253168893457
ccallcenter_transacciones_delta1	0.0015015549154725	0.00448733986477214	0.00164439876670093
internet_lag1	0.00149200070094493	0.00702722660680028	0.00184994861253854
ctarjeta_debito_lag1	0.0014901151363432	0.00434197412241524	0.00248943702181112
Master_msaldopesos_rank	0.00145878546613217	0.00232611654960088	0.00143884892086331
mttarjeta_visa_debitos_automaticos_rank	0.00136610902328739	0.00192053731485116	0.002672147995889
cpagomiscuentas_lag1	0.0013613112998745	0.00171069882335559	0.0017585931254996
ctarjeta_debito	0.00133573051039842	0.00265379490685318	0.00194130409957748
mpagomiscuentas_rank_lag1	0.00129133606133314	0.0033299667421772	0.00246659815005139
