Feature	Gain	Cover	Frequency
ctrx_quarter	0.128322276030688	0.0209878621347438	0.0115071120345213
mcuentas_saldo_rank	0.0547823009552613	0.0140095890601232	0.0122377223224275
cpayroll_trx	0.0288705857251874	0.00931674165442899	0.000639284001917852
mpasivos_margen_rank	0.0242423806276232	0.0109347750608438	0.0152058266170461
Visa_status_delta1	0.0201427661705439	0.00262782829877863	0.00118724171784744
mprestamos_personales_rank	0.0159879087908613	0.0148973274593384	0.00372154615402178
mrentabilidad_annual_rank	0.0158565029200461	0.00833412238713517	0.0120322381789539
mpayroll_rank	0.0158358569779493	0.00985737475858743	0.00219183086371835
cdescubierto_preacordado	0.014677365150697	0.00463928825251454	0.00164387314778876
numero_de_cliente	0.0112932727897102	0.0136536327711703	0.0173976574807644
mprestamos_personales_rank_delta1	0.0112671182831226	0.0136994785025397	0.00406401972647777
ctrx_quarter_delta1	0.0100116168438161	0.00939919855393097	0.012420374894404
cliente_edad_lag1	0.00946846651953259	0.00940651658405787	0.0121920591794333
mcuentas_saldo_rank_delta1	0.00943431848688312	0.00813332121009013	0.0135619534692573
mcuenta_corriente_rank	0.00938798301688294	0.00797478490817215	0.00894997602684993
mrentabilidad_annual_rank_delta1	0.00912853805218187	0.00661500926428986	0.0131966483253042
Visa_mlimitecompra_rank_delta1	0.00847925904921366	0.00495639106900405	0.0126030274663805
cliente_edad	0.00840840285512744	0.00687132422183981	0.0131966483253042
Visa_fechaalta	0.00827712568515693	0.00324462224815828	0.00732893445055823
mrentabilidad_rank	0.00817160559102019	0.00459035032173415	0.00826502888193794
Master_Fvencimiento_lag1	0.00808599243703634	0.0045038541218121	0.00842484988241741
Visa_Fvencimiento_lag1	0.00806685924101158	0.00797824097301937	0.0124432064659011
Master_fechaalta_lag1	0.00793220060782268	0.00690372663597375	0.00849334459690861
mactivos_margen_rank	0.00780575717791449	0.00779730001810474	0.00901847074134113
Master_mfinanciacion_limite_rank_delta1	0.00772611904655822	0.00598972555926308	0.0123747117514099
mrentabilidad_annual_rank_lag1	0.00768199194369879	0.00688526145028109	0.0102513756021827
ctarjeta_visa_transacciones	0.00764200122972937	0.00378506094045911	0.00582205073175187
mcomisiones_mantenimiento_rank	0.00760674479484604	0.00735909963181836	0.00929244959930592
Visa_Fvencimiento	0.00743175442593067	0.0061830983643161	0.00940660745679125
Master_mlimitecompra_rank_delta1	0.00739567829558584	0.00609984936785369	0.0128541747528482
Visa_mfinanciacion_limite_rank_delta1	0.00697490916054259	0.00627214162229166	0.0128998378958424
Master_Fvencimiento	0.0068507993430969	0.00545773064683224	0.008972807598347
cproductos_lag1	0.0068220302184459	0.00463239845391185	0.00458914587091029
mcuenta_corriente_rank_lag1	0.00658862259435717	0.00942229941155288	0.00942943902828832
Visa_mpagominimo_rank	0.00647792066173772	0.00528293993730517	0.0057307244457636
mcomisiones_mantenimiento_rank_delta1	0.00645338456148706	0.00884441410556914	0.010000228315715
cliente_antiguedad_lag1	0.0061604408083726	0.00557479022980267	0.0088358181693646
mrentabilidad_rank_delta1	0.00609228131251724	0.00352031008460097	0.00952076531427658
chomebanking_transacciones	0.00603189154500248	0.0043865094890234	0.00990890202972671
