Feature	Gain	Cover	Frequency
ctrx_quarter	0.128914316614189	0.0189931144080871	0.0128764183466131
mcuentas_saldo_rank	0.06586561387843	0.0104881415525817	0.0133558594552636
cpayroll_trx	0.03182035528548	0.0088368198507685	0.00066208534051734
Visa_status_delta1	0.0202823044691685	0.00308511193204981	0.0010502043332344
mpayroll_rank	0.0165762343271481	0.0104481877444914	0.00182644231866852
mrentabilidad_annual_rank_lag1	0.0141324993701228	0.00760678445308619	0.0127166046437296
cproductos	0.0133821586968553	0.00524781361129992	0.00463459738362138
mpasivos_margen_rank	0.0130751403599401	0.00994720373910837	0.0120316887742289
numero_de_cliente	0.0125222026530824	0.0112323418055668	0.018698203237369
mcuenta_corriente_rank	0.0122979408394753	0.00770499742850973	0.0100454327526769
Visa_msaldopesos_rank	0.0120508003593555	0.00358927316832849	0.00497705531837173
mrentabilidad_annual_rank_delta1	0.0118332691718541	0.00742986374558036	0.0146571996073149
Master_Fvencimiento	0.0112058590843079	0.00621855742431169	0.00876692312960891
mprestamos_personales_rank_delta1	0.0108088646897383	0.0132065696816072	0.00392685098513733
mrentabilidad_annual_rank	0.0105746043240988	0.00860805274742328	0.00979429693385996
cliente_edad	0.0100266928752241	0.00772997730502157	0.0140407753247643
ctrx_quarter_delta1	0.00967442682546979	0.00735460924365183	0.012100180361179
mactivos_margen_rank	0.00965633631165299	0.00678682693896071	0.00999977169471017
mcuentas_saldo_rank_delta1	0.00910230193422477	0.0075164251466915	0.0142234195566311
Master_mlimitecompra_rank_delta1	0.00839251576125664	0.0062784531506258	0.0137896395059474
cprestamos_personales_delta1	0.00829803073748436	0.00489572278313168	0.000981712746284331
Visa_fechaalta_lag1	0.00829381433192979	0.00519067269448182	0.00773954932535787
mcomisiones_mantenimiento_rank	0.00821736952154302	0.00954086415536151	0.0101367548686103
Visa_mlimitecompra_rank_delta1	0.00796716040366169	0.00619073333009347	0.0132417068103468
Visa_mfinanciacion_limite_rank_delta1	0.00775875854788057	0.00573141873382282	0.0129449099335632
Master_mfinanciacion_limite_rank_delta1	0.00740280005793137	0.00556924649371288	0.0131732152233967
cliente_edad_lag1	0.00740199265284155	0.00929925725554592	0.0112097897308281
mprestamos_personales_rank_lag1	0.0068142055032774	0.00529895899493924	0.00301362982580306
Visa_Fvencimiento	0.00673130583136761	0.0064531360613303	0.0104792128033607
mactivos_margen_rank_delta1	0.00668570517395862	0.00514393422857342	0.0110499760279446
mtarjeta_visa_consumo_rank	0.00658239980192588	0.00782882002523113	0.00529668272413872
mrentabilidad_rank_delta1	0.00653716429740953	0.00470521980227815	0.0106618570352275
Visa_Fvencimiento_lag1	0.00644912004106634	0.00652245722709597	0.00922353370927604
mcuenta_corriente_rank_lag1	0.00633101684058226	0.00819941705717268	0.00974863587589324
mcaja_ahorro_rank	0.00629212513717286	0.00699363849569235	0.00922353370927604
Master_Fvencimiento_lag1	0.00628322203853659	0.00706248540921176	0.00947466952809297
mcomisiones_mantenimiento_rank_delta1	0.00628318258514913	0.00807305604473977	0.0094061779411429
Visa_fechaalta	0.00620145759394485	0.00645631977108181	0.00824182096299171
chomebanking_transacciones	0.00596151839713299	0.00435720676596502	0.00922353370927604
cliente_antiguedad_lag1	0.00582317677619713	0.00381598258706427	0.00780804091230794
mrentabilidad_rank	0.00571345391742234	0.00633660217740998	0.00821899043400836
mactivos_margen_rank_lag1	0.00567291183502557	0.00531060149885349	0.00789936302824136
Master_fechaalta	0.00564469979725126	0.00683671801611267	0.0073057692746741
mcuenta_corriente_rank_delta1	0.0054822262051751	0.00496144300083083	0.0097714664048766
cliente_antiguedad	0.00547542033338701	0.00457396984524106	0.00885824524554234
chomebanking_transacciones_lag1	0.00545996094402097	0.00345729369212572	0.00920070318029269
mcaja_ahorro_rank_delta1	0.00539400208039063	0.00370623336096198	0.00874409260062556
ctarjeta_visa_transacciones	0.00538788454407135	0.00567032830649492	0.0054108353690555
Visa_mpagominimo_rank_lag1	0.00536757741754203	0.00497939850185918	0.00659802287619004
Master_fechaalta_lag1	0.005359136459325	0.00510300340902492	0.00842446519485856
chomebanking_transacciones_delta1	0.00527854346673675	0.0036117042629595	0.00812766831807493
Visa_mpagominimo_rank	0.00523800750096534	0.00804450113558469	0.00666651446314011
mpasivos_margen_rank_delta1	0.00518740443712268	0.00366139708712327	0.00890390630350905
Master_mfinanciacion_limite_rank	0.00514326425635887	0.00449763726170355	0.0066208534051734
mrentabilidad_rank_lag1	0.00504423436869533	0.003735142015645	0.008196159905025
mpasivos_margen_rank_lag1	0.0049835980488647	0.00623854858183969	0.00990844957877674
ctrx_quarter_lag1	0.00493217557664596	0.0112159062441146	0.00926919476724276
mcomisiones_mantenimiento_rank_lag1	0.00481244510314336	0.00675556645961388	0.00851578731079199
thomebanking	0.00465553529827471	0.00159385425066166	0.00164379808680167
Visa_mpagospesos_rank_lag1	0.00453195872853398	0.00648051311449672	0.00726010821670738
mtransferencias_recibidas_rank	0.00439152891412647	0.00583657315537532	0.00655236181822333
Master_mfinanciacion_limite_rank_lag1	0.00435727518193959	0.00556076178412684	0.00623273441245634
Visa_mlimitecompra_rank_lag1	0.00429704698103207	0.00305066385563798	0.00568480171685578
Visa_mfinanciacion_limite_rank_lag1	0.00425011217231337	0.00408695036569934	0.00666651446314011
ccomisiones_otras	0.00423491875803174	0.00477460186928855	0.00447478368073788
mprestamos_personales_rank	0.00421077888021985	0.0116827091019456	0.00360722357937033
mcuentas_saldo_rank_lag1	0.00420505717964956	0.00432372792638434	0.00799068514417479
foto_mes	0.0040793164734991	0.00118891539554377	0.00337891828953677
Master_mlimitecompra_rank_lag1	0.00407830858960964	0.00262979997290672	0.00554781854295564
Master_mlimitecompra_rank	0.00404148685500668	0.00343668833906568	0.00589027647770599
mcaja_ahorro_rank_lag1	0.00400632454780288	0.0040062769487603	0.00755690509349102
cprestamos_personales	0.00390402286346054	0.01017964953679	0.00237437501426908
Visa_mpagospesos_rank	0.0037758540216492	0.00339197645925877	0.00497705531837173
mtransferencias_recibidas_rank_lag1	0.00376926452552977	0.0043035074173602	0.00639254811533983
Visa_mconsumospesos_rank_lag1	0.00376409076824602	0.00239504122369623	0.00627839547042305
mcaja_ahorro_dolares_rank_lag1	0.00375250427734202	0.00382336977847386	0.0048857332024383
Visa_mpagospesos_rank_delta1	0.00372982509341481	0.00321476161169857	0.00634688705737312
mcomisiones_otras_rank_delta1	0.0037072052316434	0.00330196571530737	0.00655236181822333
Visa_mlimitecompra_rank	0.003671256123962	0.00306657722131087	0.00570763224583914
Visa_mconsumospesos_rank_delta1	0.00350822333092902	0.00204480334829342	0.00527385219515536
mcomisiones_rank_delta1	0.00348931648002478	0.00313247495965957	0.00595876806465606
mcaja_ahorro_dolares_rank_delta1	0.00342189215257006	0.005206084596714	0.00511403849227187
Visa_mpagominimo_rank_delta1	0.00337099747644495	0.00401241760830951	0.00566197118787242
mcomisiones_otras_rank_lag1	0.00336193120223056	0.0040630731904486	0.00529668272413872
Visa_mfinanciacion_limite_rank	0.00326683924501663	0.00279082156822247	0.00531951325312208
mttarjeta_visa_debitos_automaticos_rank_delta1	0.00323484793348437	0.00327093070014319	0.00472591949955481
mtransferencias_recibidas_rank_delta1	0.00323248966474646	0.00267762818236458	0.00582178489075592
Master_fultimo_cierre_lag1	0.00317999240884842	0.00214081480850825	0.00454327526768795
ccomisiones_mantenimiento_delta1	0.00312719706361434	0.0058935935654751	0.0012100180361179
Visa_mconsumospesos_rank	0.00305983919886939	0.00216577395268146	0.00518253007922194
Visa_cconsumos_lag1	0.00305974992193117	0.0023541259534017	0.00449761420972124
mcomisiones_rank	0.00302132854956269	0.00319562436736807	0.00433780050683774
mcomisiones_otras_rank	0.00301580318629701	0.00319811095223301	0.0048857332024383
ctarjeta_visa_transacciones_lag1	0.00299584619117018	0.00381971699956075	0.00369854569530376
mcomisiones_rank_lag1	0.00290821029271058	0.00264697153238047	0.00477158055752152
mcaja_ahorro_dolares_rank	0.00290431891174536	0.0041480278353156	0.00422364786192096
cdescubierto_preacordado	0.00284413797368312	0.00515125015256896	0.00146115385493482
mcuenta_debitos_automaticos_rank	0.00276707291030576	0.00481255759824305	0.00267117189105272
ccomisiones_otras_lag1	0.00275748716147383	0.0024137728916522	0.00472591949955481
Visa_msaldototal_rank_delta1	0.00275277456754118	0.00235891641939736	0.00381269834022054
Visa_msaldopesos_rank_delta1	0.00274248178539643	0.00251650033381333	0.00426930891988767
Master_fultimo_cierre	0.00271629109130505	0.00273248076730593	0.00461176685463802
Visa_cconsumos_delta1	0.00261681694309685	0.00299214942138537	0.00365288463733705
mtransferencias_emitidas_rank_delta1	0.00260655270228117	0.00226561052937429	0.00413232574598753
tcallcenter	0.00248083857398521	0.000999048638332069	0.000570763224583914
Visa_cconsumos	0.00247306449661156	0.00207842861001571	0.00401817310107075
Visa_msaldototal_rank	0.00245406639128945	0.00423104400652029	0.00497705531837173
cproductos_lag1	0.00235794801796039	0.00195651597999099	0.00303646035478642
ctransferencias_recibidas	0.00235684638325594	0.00205510213750994	0.00378986781123719
active_quarter	0.00229456619485721	0.00164457332558782	0.000821899043400836
mtarjeta_visa_consumo_rank_delta1	0.00225902435905267	0.00255575572124596	0.0039953425720874
mtransferencias_emitidas_rank_lag1	0.0021986719692883	0.00188859683862546	0.00365288463733705
ccomisiones_otras_delta1	0.00218497632578876	0.00368017669861233	0.00310495194173649
ctarjeta_debito_transacciones_delta1	0.00214326092966638	0.00380798508743614	0.0033104267025867
ccallcenter_transacciones_delta1	0.00210830261568193	0.00504652333550079	0.00198625602155202
Master_msaldopesos_rank	0.00206817295058617	0.00238525167254741	0.00182644231866852
Visa_fultimo_cierre_lag1	0.00206675324129566	0.00185211828879864	0.00376703728225383
Visa_fultimo_cierre	0.00206075525953843	0.0029120526226146	0.00408666468802082
mttarjeta_visa_debitos_automaticos_rank_lag1	0.00205555723743941	0.00146635425537503	0.00319627405766992
mtransferencias_emitidas_rank	0.00203895068218844	0.00467881328171404	0.00349307093445355
mautoservicio_rank	0.0020248275916596	0.00141681433220868	0.0027853245359695
mttarjeta_visa_debitos_automaticos_rank	0.00187248246083335	0.0015377525423176	0.00296796876783635
Visa_msaldopesos_rank_lag1	0.00182031797425264	0.00166762509460668	0.00299079929681971
cprestamos_personales_lag1	0.00179697403299056	0.0104073191219588	0.00239720554325244
mcuenta_debitos_automaticos_rank_delta1	0.0017864460218263	0.00278451245842186	0.00305929088376978
ctransferencias_emitidas_delta1	0.00177984636422586	0.00568198765543431	0.00287664665190292
mautoservicio_rank_delta1	0.00177726037337389	0.00159796054948239	0.00319627405766992
Visa_mconsumototal_rank_delta1	0.00170666994494758	0.00112609640948224	0.00285381612291957
ctarjeta_debito_transacciones_lag1	0.00169968759990042	0.00141247997766298	0.00317344352868656
cdescubierto_preacordado_delta1	0.00167763973923792	0.00753785201866991	0.000890390630350905
mautoservicio_rank_lag1	0.00165811521400958	0.00109263830224019	0.00296796876783635
cmobile_app_trx	0.00165793226320607	0.00131022549197694	0.00207757813748545
Visa_status	0.00165334723069813	0.00221579460694988	0.00107303486221776
ccaja_ahorro	0.001615771833822	0.00198285771199686	0.00162096755781831
Master_msaldototal_rank_lag1	0.00160978321048232	0.00181549590837255	0.00109586539120111
ctarjeta_debito_lag1	0.00156156557143816	0.00220689913790466	0.00216890025341887
cmobile_app_trx_lag1	0.00153796904514874	0.000601993254979822	0.00194059496358531
Visa_mconsumototal_rank_lag1	0.00153495476889083	0.000393543843496085	0.00132417068103468
Visa_delinquency_lag1	0.00153013891971569	1.23253753180122e-05	9.13221159334262e-05
ctransferencias_recibidas_lag1	0.00150901623779451	0.00295544799891824	0.00299079929681971
ctarjeta_debito_transacciones	0.00149838617762311	0.000934493318909932	0.00264834136206936
ctransferencias_recibidas_delta1	0.00149766471825631	0.00152320751099457	0.00242003607223579
mpagomiscuentas_rank_lag1	0.00148275297095833	0.00240324863825303	0.00232871395630237
ctarjeta_visa_transacciones_delta1	0.00147703026601437	0.00336302763566965	0.00271683294901943
internet_lag1	0.00143066940718048	0.00743862834173795	0.00207757813748545
mpagomiscuentas_rank	0.00139048060498207	0.00352546291732602	0.00159813702883496
Visa_mconsumototal_rank	0.00138723462632533	0.00047777803959554	0.00175795073171845
mtarjeta_visa_consumo_rank_lag1	0.00138577554008181	0.00233976621735521	0.00264834136206936
mpayroll_rank_lag1	0.00134975538370454	0.00138800286036302	0.00164379808680167
ctarjeta_debito	0.00129041704094912	0.00277431214781385	0.00253418871715258
Visa_msaldototal_rank_lag1	0.00127164656421818	0.00291457937638564	0.0021004086664688
