envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
138	1194000	906000	1386000	1506000	906000	1266000	
139	1215000	903000	1383000	1503000	1023000	1263000	
140	1212000	9e+05	1380000	1500000	1020000	1260000	
141	1209000	897000	1377000	1497000	1017000	1257000	
142	1206000	894000	1374000	1494000	1014000	1254000	
143	1227000	891000	1491000	1491000	1011000	1251000	
144	1224000	888000	1488000	1488000	1008000	1248000	
145	1221000	885000	1485000	1485000	1005000	1245000	
146	1218000	882000	1482000	1482000	1002000	1242000	
147	1263000	879000	1479000	1599000	999000	1359000	
148	1260000	876000	1476000	1596000	996000	1356000	
149	1257000	873000	1473000	1593000	993000	1353000	
150	1278000	990000	1470000	1590000	990000	1350000	
151	1275000	987000	1467000	1587000	987000	1347000	
152	1272000	984000	1464000	1584000	984000	1344000	
153	1293000	1101000	1461000	1581000	981000	1341000	
154	1290000	1098000	1458000	1578000	978000	1338000	
155	1311000	1095000	1455000	1695000	975000	1335000	
156	1308000	1092000	1452000	1692000	972000	1332000	
157	1305000	1089000	1449000	1689000	969000	1329000	
158	1326000	1086000	1446000	1686000	1086000	1326000	
159	1347000	1083000	1563000	1683000	1083000	1323000	
160	1344000	1080000	1560000	1680000	1080000	1320000	
161	1365000	1197000	1557000	1677000	1077000	1317000	
162	1386000	1194000	1674000	1674000	1074000	1314000	
163	1407000	1191000	1671000	1671000	1191000	1311000	
164	1428000	1188000	1788000	1668000	1188000	1308000	
165	1425000	1185000	1785000	1665000	1185000	1305000	
166	1422000	1182000	1782000	1662000	1182000	1302000	
167	1443000	1179000	1779000	1779000	1179000	1299000	
168	1440000	1176000	1776000	1776000	1176000	1296000	
169	1485000	1293000	1773000	1773000	1173000	1413000	
170	1530000	1290000	1890000	1770000	1170000	1530000	
171	1551000	1407000	1887000	1767000	1167000	1527000	
172	1548000	1404000	1884000	1764000	1164000	1524000	
173	1569000	1401000	1881000	1761000	1281000	1521000	
174	1590000	1398000	1998000	1758000	1278000	1518000	
175	1611000	1395000	1995000	1875000	1275000	1515000	
176	1608000	1392000	1992000	1872000	1272000	1512000	
177	1629000	1389000	2109000	1869000	1269000	1509000	
178	1674000	1506000	2106000	1986000	1266000	1506000	
179	1695000	1503000	2103000	1983000	1383000	1503000	
180	1692000	1500000	2100000	1980000	1380000	1500000	
181	1713000	1497000	2217000	1977000	1377000	1497000	
182	1758000	1494000	2334000	1974000	1494000	1494000	
183	1755000	1491000	2331000	1971000	1491000	1491000	
184	1752000	1488000	2328000	1968000	1488000	1488000	
185	1749000	1485000	2325000	1965000	1485000	1485000	
186	1770000	1482000	2442000	1962000	1482000	1482000	
187	1791000	1599000	2439000	1959000	1479000	1479000	
188	1788000	1596000	2436000	1956000	1476000	1476000	
189	1785000	1593000	2433000	1953000	1473000	1473000	
190	1782000	1590000	2430000	1950000	1470000	1470000	
191	1779000	1587000	2427000	1947000	1467000	1467000	
192	1824000	1584000	2424000	1944000	1584000	1584000	
193	1821000	1581000	2421000	1941000	1581000	1581000	
194	1842000	1698000	2418000	1938000	1578000	1578000	
195	1887000	1815000	2415000	1935000	1575000	1695000	
196	1908000	1932000	2412000	1932000	1572000	1692000	
197	1929000	1929000	2409000	1929000	1689000	1689000	
198	1950000	2046000	2406000	1926000	1686000	1686000	
199	1971000	2043000	2523000	1923000	1683000	1683000	
200	1968000	2040000	2520000	1920000	1680000	1680000	
201	1965000	2037000	2517000	1917000	1677000	1677000	
202	1986000	2154000	2514000	1914000	1674000	1674000	
203	2031000	2271000	2511000	1911000	1671000	1791000	
204	2028000	2268000	2508000	1908000	1668000	1788000	
205	2097000	2265000	2625000	2025000	1785000	1785000	
206	2166000	2382000	2742000	2022000	1782000	1902000	
207	2163000	2379000	2739000	2019000	1779000	1899000	
208	2184000	2376000	2736000	2016000	1896000	1896000	
209	2181000	2373000	2733000	2013000	1893000	1893000	
210	2202000	2370000	2730000	2130000	1890000	1890000	
211	2199000	2367000	2727000	2127000	1887000	1887000	
212	2220000	2484000	2724000	2124000	1884000	1884000	
213	2241000	2601000	2721000	2121000	1881000	1881000	
214	2262000	2598000	2838000	2118000	1878000	1878000	
215	2307000	2715000	2835000	2115000	1875000	1995000	
216	2352000	2832000	2832000	2112000	1872000	2112000	
217	2349000	2829000	2829000	2109000	1869000	2109000	
218	2394000	2826000	2826000	2226000	1866000	2226000	
219	2439000	2823000	2943000	2223000	1863000	2343000	
220	2460000	2820000	2940000	2220000	1980000	2340000	
221	2457000	2817000	2937000	2217000	1977000	2337000	
222	2478000	2814000	2934000	2214000	1974000	2454000	
223	2475000	2811000	2931000	2211000	1971000	2451000	
224	2496000	2808000	2928000	2208000	2088000	2448000	
225	2493000	2805000	2925000	2205000	2085000	2445000	
226	2514000	2922000	2922000	2202000	2082000	2442000	
227	2511000	2919000	2919000	2199000	2079000	2439000	
228	2532000	3036000	2916000	2196000	2076000	2436000	
229	2577000	3033000	3033000	2193000	2073000	2553000	
230	2598000	3030000	3030000	2190000	2070000	2670000	
231	2595000	3027000	3027000	2187000	2067000	2667000	
232	2640000	3144000	3024000	2304000	2064000	2664000	
233	2637000	3141000	3021000	2301000	2061000	2661000	
234	2634000	3138000	3018000	2298000	2058000	2658000	
235	2655000	3135000	3015000	2295000	2055000	2775000	
236	2676000	3132000	3012000	2412000	2052000	2772000	
237	2721000	3129000	3009000	2529000	2169000	2769000	
238	2718000	3126000	3006000	2526000	2166000	2766000	
239	2715000	3123000	3003000	2523000	2163000	2763000	
240	2736000	3120000	3e+06	2520000	2280000	2760000	
241	2733000	3117000	2997000	2517000	2277000	2757000	
242	2730000	3114000	2994000	2514000	2274000	2754000	
243	2727000	3111000	2991000	2511000	2271000	2751000	
244	2772000	3228000	2988000	2508000	2388000	2748000	
245	2793000	3225000	2985000	2505000	2505000	2745000	
246	2814000	3342000	2982000	2502000	2502000	2742000	
247	2835000	3339000	2979000	2619000	2499000	2739000	
248	2832000	3336000	2976000	2616000	2496000	2736000	
249	2829000	3333000	2973000	2613000	2493000	2733000	
250	2826000	3330000	2970000	2610000	2490000	2730000	
251	2823000	3327000	2967000	2607000	2487000	2727000	
252	2820000	3324000	2964000	2604000	2484000	2724000	
253	2817000	3321000	2961000	2601000	2481000	2721000	
254	2862000	3318000	3078000	2598000	2598000	2718000	
255	2883000	3315000	3075000	2595000	2715000	2715000	
256	2880000	3312000	3072000	2592000	2712000	2712000	
257	2901000	3429000	3069000	2589000	2709000	2709000	
258	2922000	3426000	3066000	2586000	2706000	2826000	
259	2919000	3423000	3063000	2583000	2703000	2823000	
260	2940000	3420000	3060000	2580000	2820000	2820000	
261	2937000	3417000	3057000	2577000	2817000	2817000	
262	2934000	3414000	3054000	2574000	2814000	2814000	
263	2979000	3411000	3171000	2691000	2811000	2811000	
264	3024000	3408000	3168000	2808000	2928000	2808000	
265	3045000	3405000	3165000	2805000	3045000	2805000	
266	3090000	3522000	3162000	2802000	3042000	2922000	
267	3183000	3639000	3159000	2919000	3159000	3039000	
268	3204000	3756000	3156000	2916000	3156000	3036000	
269	3201000	3753000	3153000	2913000	3153000	3033000	
270	3222000	3750000	3150000	2910000	3150000	3150000	
271	3219000	3747000	3147000	2907000	3147000	3147000	
272	3240000	3744000	3264000	2904000	3144000	3144000	
273	3261000	3861000	3261000	2901000	3141000	3141000	
274	3258000	3858000	3258000	2898000	3138000	3138000	
275	3255000	3855000	3255000	2895000	3135000	3135000	
276	3252000	3852000	3252000	2892000	3132000	3132000	
277	3249000	3849000	3249000	2889000	3129000	3129000	
278	3246000	3846000	3246000	2886000	3126000	3126000	
279	3243000	3843000	3243000	2883000	3123000	3123000	
280	3264000	3960000	3240000	2880000	3120000	3120000	
281	3261000	3957000	3237000	2877000	3117000	3117000	
282	3282000	3954000	3354000	2874000	3114000	3114000	
283	3303000	3951000	3471000	2871000	3111000	3111000	
284	3300000	3948000	3468000	2868000	3108000	3108000	
285	3321000	3945000	3465000	2985000	3105000	3105000	
286	3342000	3942000	3462000	2982000	3102000	3222000	
287	3387000	3939000	3579000	2979000	3099000	3339000	
288	3384000	3936000	3576000	2976000	3096000	3336000	
289	3381000	3933000	3573000	2973000	3093000	3333000	
