envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
141	1353000	1497000	1257000	1257000	1377000	1377000	
142	1350000	1494000	1254000	1254000	1374000	1374000	
143	1371000	1491000	1251000	1371000	1371000	1371000	
144	1392000	1488000	1248000	1488000	1368000	1368000	
145	1389000	1485000	1245000	1485000	1365000	1365000	
146	1386000	1482000	1242000	1482000	1362000	1362000	
147	1383000	1479000	1239000	1479000	1359000	1359000	
148	1428000	1596000	1236000	1476000	1476000	1356000	
149	1425000	1593000	1233000	1473000	1473000	1353000	
150	1422000	1590000	1230000	1470000	1470000	1350000	
151	1443000	1587000	1347000	1467000	1467000	1347000	
152	1440000	1584000	1344000	1464000	1464000	1344000	
153	1437000	1581000	1341000	1461000	1461000	1341000	
154	1458000	1578000	1338000	1458000	1578000	1338000	
155	1455000	1575000	1335000	1455000	1575000	1335000	
156	1452000	1572000	1332000	1452000	1572000	1332000	
157	1449000	1569000	1329000	1449000	1569000	1329000	
158	1446000	1566000	1326000	1446000	1566000	1326000	
159	1467000	1563000	1323000	1563000	1563000	1323000	
160	1488000	1560000	1320000	1560000	1680000	1320000	
161	1509000	1557000	1317000	1557000	1677000	1437000	
162	1530000	1674000	1314000	1554000	1674000	1434000	
163	1551000	1671000	1311000	1551000	1671000	1551000	
164	1572000	1788000	1308000	1548000	1668000	1548000	
165	1569000	1785000	1305000	1545000	1665000	1545000	
166	1566000	1782000	1302000	1542000	1662000	1542000	
167	1611000	1899000	1299000	1539000	1659000	1659000	
168	1632000	2016000	1296000	1536000	1656000	1656000	
169	1629000	2013000	1293000	1533000	1653000	1653000	
170	1626000	2010000	1290000	1530000	1650000	1650000	
171	1623000	2007000	1287000	1527000	1647000	1647000	
172	1644000	2124000	1284000	1524000	1644000	1644000	
173	1665000	2121000	1281000	1521000	1761000	1641000	
174	1686000	2118000	1278000	1518000	1878000	1638000	
175	1683000	2115000	1275000	1515000	1875000	1635000	
176	1680000	2112000	1272000	1512000	1872000	1632000	
177	1677000	2109000	1269000	1509000	1869000	1629000	
178	1698000	2106000	1386000	1506000	1866000	1626000	
179	1695000	2103000	1383000	1503000	1863000	1623000	
180	1764000	2100000	1500000	1620000	1980000	1620000	
181	1785000	2097000	1497000	1737000	1977000	1617000	
182	1830000	2094000	1614000	1854000	1974000	1614000	
183	1851000	2091000	1731000	1851000	1971000	1611000	
184	1848000	2088000	1728000	1848000	1968000	1608000	
185	1845000	2085000	1725000	1845000	1965000	1605000	
186	1842000	2082000	1722000	1842000	1962000	1602000	
187	1839000	2079000	1719000	1839000	1959000	1599000	
188	1860000	2196000	1716000	1836000	1956000	1596000	
189	1905000	2193000	1713000	1953000	2073000	1593000	
190	1926000	2190000	1830000	1950000	2070000	1590000	
191	1947000	2307000	1827000	1947000	2067000	1587000	
192	1944000	2304000	1824000	1944000	2064000	1584000	
193	1989000	2301000	1941000	1941000	2181000	1581000	
194	1986000	2298000	1938000	1938000	2178000	1578000	
195	1983000	2295000	1935000	1935000	2175000	1575000	
196	2004000	2292000	2052000	1932000	2172000	1572000	
197	2025000	2289000	2169000	1929000	2169000	1569000	
198	2094000	2406000	2286000	1926000	2166000	1686000	
199	2115000	2403000	2283000	1923000	2163000	1803000	
200	2136000	2400000	2280000	1920000	2280000	1800000	
201	2133000	2397000	2277000	1917000	2277000	1797000	
202	2154000	2394000	2274000	1914000	2274000	1914000	
203	2199000	2391000	2391000	1911000	2391000	1911000	
204	2196000	2388000	2388000	1908000	2388000	1908000	
205	2217000	2385000	2505000	1905000	2385000	1905000	
206	2214000	2382000	2502000	1902000	2382000	1902000	
207	2211000	2379000	2499000	1899000	2379000	1899000	
208	2232000	2376000	2496000	2016000	2376000	1896000	
209	2253000	2493000	2493000	2013000	2373000	1893000	
210	2250000	2490000	2490000	2010000	2370000	1890000	
211	2271000	2487000	2487000	2127000	2367000	1887000	
212	2268000	2484000	2484000	2124000	2364000	1884000	
213	2289000	2601000	2481000	2121000	2361000	1881000	
214	2310000	2718000	2478000	2118000	2358000	1878000	
215	2307000	2715000	2475000	2115000	2355000	1875000	
216	2304000	2712000	2472000	2112000	2352000	1872000	
217	2349000	2709000	2469000	2229000	2469000	1869000	
218	2370000	2706000	2466000	2226000	2466000	1986000	
219	2367000	2703000	2463000	2223000	2463000	1983000	
220	2388000	2700000	2460000	2220000	2460000	2100000	
221	2409000	2697000	2577000	2217000	2457000	2097000	
222	2454000	2694000	2574000	2334000	2574000	2094000	
223	2499000	2691000	2691000	2331000	2691000	2091000	
224	2520000	2688000	2808000	2328000	2688000	2088000	
225	2541000	2685000	2925000	2325000	2685000	2085000	
226	2562000	2682000	2922000	2322000	2802000	2082000	
227	2631000	2799000	2919000	2439000	2799000	2199000	
228	2628000	2796000	2916000	2436000	2796000	2196000	
229	2625000	2793000	2913000	2433000	2793000	2193000	
230	2646000	2790000	2910000	2430000	2790000	2310000	
231	2643000	2787000	2907000	2427000	2787000	2307000	
232	2664000	2784000	2904000	2544000	2784000	2304000	
233	2685000	2781000	2901000	2541000	2781000	2421000	
234	2682000	2778000	2898000	2538000	2778000	2418000	
235	2679000	2775000	2895000	2535000	2775000	2415000	
236	2676000	2772000	2892000	2532000	2772000	2412000	
237	2673000	2769000	2889000	2529000	2769000	2409000	
238	2694000	2766000	2886000	2526000	2766000	2526000	
239	2715000	2763000	2883000	2643000	2763000	2523000	
240	2712000	2760000	2880000	2640000	2760000	2520000	
241	2709000	2757000	2877000	2637000	2757000	2517000	
242	2730000	2874000	2874000	2634000	2754000	2514000	
243	2751000	2871000	2871000	2631000	2751000	2631000	
244	2772000	2988000	2868000	2628000	2748000	2628000	
245	2769000	2985000	2865000	2625000	2745000	2625000	
246	2766000	2982000	2862000	2622000	2742000	2622000	
247	2763000	2979000	2859000	2619000	2739000	2619000	
248	2760000	2976000	2856000	2616000	2736000	2616000	
249	2781000	2973000	2853000	2613000	2853000	2613000	
250	2826000	2970000	2850000	2730000	2850000	2730000	
251	2823000	2967000	2847000	2727000	2847000	2727000	
252	2844000	3084000	2844000	2724000	2844000	2724000	
