Feature	Gain	Cover	Frequency
ctrx_quarter	0.142205550570259	0.0131327013337036	0.0140812030705107
mcuentas_saldo_rank	0.0297367713484953	0.0111413995776269	0.0135816690927751
cpayroll_trx	0.0230000350260061	0.00389972884215504	0.000497439495648714
mcaja_ahorro_rank	0.021716736521696	0.0062601791181879	0.0118641937814827
mpayroll_rank	0.0206610761259693	0.00789124357236336	0.00169548324937951
mtarjeta_visa_consumo_rank	0.0189782787443944	0.0081576180966125	0.0059064394851763
mpasivos_margen_rank	0.0142087705788594	0.00982609918705352	0.0159107331734545
mrentabilidad_annual_rank_delta1	0.0132184649284338	0.00986957711697952	0.0165286053891024
numero_de_cliente	0.0131468829933063	0.0133087019577944	0.0192566683073443
ctrx_quarter_lag1	0.0123163239299117	0.00837700295197033	0.012124956801307
mrentabilidad_annual_rank_lag1	0.0116044078635837	0.00882950047574172	0.0132350323073862
ctrx_quarter_delta1	0.0106379176557766	0.00639238976160951	0.0123595387950445
cliente_edad_lag1	0.0100026209477498	0.0102484406776804	0.0130266313397355
mrentabilidad_annual_rank	0.00994521706858138	0.0103876867303846	0.0115008011393983
cliente_edad	0.00989467425624792	0.00923945255063147	0.0148435945501576
mprestamos_personales_rank	0.00975161666215587	0.0127963834721924	0.00357737540449685
mcuentas_saldo_rank_delta1	0.00955922573697638	0.00665425940785691	0.0135617715129491
mactivos_margen_rank	0.00848721922621647	0.010105329367562	0.0104169066594058
Visa_mlimitecompra_rank_delta1	0.00845276373612071	0.0075799665314531	0.0134266774183414
Visa_mfinanciacion_limite_rank_delta1	0.00841650165180416	0.00662631493005977	0.013854999005121
mactivos_margen_rank_delta1	0.00838844436356211	0.00820053692171761	0.013132402685126
Master_mlimitecompra_rank_delta1	0.00834440938182021	0.00640089981924376	0.0130863240792133
Master_mfinanciacion_limite_rank_delta1	0.00832272335978236	0.00595578780232673	0.0134465749981673
chomebanking_transacciones	0.0082277553924333	0.00507910927382813	0.0102221198253202
Master_Fvencimiento	0.00807919574230647	0.00588012033639176	0.00900732021489386
mcuenta_corriente_rank	0.0080242576973213	0.00945225180033146	0.0123092712249579
