Feature	Gain	Cover	Frequency
ctrx_quarter	0.160515458717365	0.014091923457587	0.0128132041154274
mcuentas_saldo_rank	0.0330267986191397	0.0100513299191431	0.0132882699459782
cpayroll_trx	0.0295293108546545	0.00697046553299058	0.00297255476830361
mpayroll_rank	0.0245804208474435	0.0122045341903417	0.00697668105437468
mpasivos_margen_rank	0.0203308314021036	0.00961799747499023	0.0150528001737384
ctrx_quarter_lag1	0.0184299564513767	0.00814619222020069	0.0107772076987811
mcaja_ahorro_rank	0.015396572122877	0.00486672940291909	0.00977278279990227
cprestamos_personales_lag1	0.0150457175535525	0.00186538822791604	0.00095013166110161
mrentabilidad_annual_rank_delta1	0.011676629896346	0.00772806105572877	0.0127181909493173
mtarjeta_visa_consumo_rank	0.0112137316494348	0.0102254577464936	0.00829329207047262
mrentabilidad_annual_rank_lag1	0.0098155048462339	0.00585201207550239	0.0101799820832315
mprestamos_personales_rank	0.00966407862745893	0.0137428518464367	0.00291826153052637
mprestamos_personales_rank_lag1	0.0095593886359731	0.0041216490121098	0.00183239677498168
ctarjeta_master	0.00942411402154699	0.000416088515496889	0.000257892879441866
numero_de_cliente	0.00895464523513352	0.00958306909680124	0.0139126421804164
mactivos_margen_rank	0.00893062483971604	0.00999898589005306	0.00996280913212259
mcuentas_saldo_rank_delta1	0.00839863727580748	0.00862403271690749	0.0135054428970872
cliente_edad_lag1	0.00829129382797715	0.00994769866981169	0.012881070662649
mrentabilidad_annual_rank	0.00816933581426924	0.00698562342246826	0.01011211553601
Visa_msaldopesos_rank	0.00796935029353188	0.00651798366837464	0.00684094795993159
mcomisiones_mantenimiento_rank	0.00779058942567285	0.00784770990890393	0.00846974509324864
cliente_edad	0.00777884198067541	0.00757481568297624	0.0114422998615522
Master_Fvencimiento	0.00748533023345032	0.0046410518078262	0.00985422265656812
ctrx_quarter_delta1	0.00746125940321177	0.00683500867271616	0.00954203653934902
mcuenta_corriente_rank	0.00712755752789907	0.00780577180660856	0.00901267747102098
chomebanking_transacciones	0.00711410046687136	0.00537514712294153	0.00901267747102098
mcuenta_corriente_rank_lag1	0.00693961810636202	0.00671670234184664	0.00758747997936857
Visa_Fvencimiento	0.00692055835243442	0.00552695510328301	0.0101664087737872
Visa_mpagominimo_rank	0.00664454127918508	0.00481729545915551	0.00967776963379211
Master_Fvencimiento_lag1	0.00659265631405391	0.0058083082125629	0.0088769443765779
