envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
146	834000	642000	1002000	1002000	882000	642000	
147	831000	639000	999000	999000	879000	639000	
148	828000	636000	996000	996000	876000	636000	
149	849000	633000	993000	1113000	873000	633000	
150	870000	750000	990000	1110000	870000	630000	
151	867000	747000	987000	1107000	867000	627000	
152	912000	744000	984000	1104000	984000	744000	
153	909000	741000	981000	1101000	981000	741000	
154	954000	858000	978000	1218000	978000	738000	
155	951000	855000	975000	1215000	975000	735000	
156	948000	852000	972000	1212000	972000	732000	
157	969000	849000	969000	1329000	969000	729000	
158	966000	846000	966000	1326000	966000	726000	
159	987000	843000	963000	1323000	1083000	723000	
160	984000	840000	960000	1320000	1080000	720000	
161	981000	837000	957000	1317000	1077000	717000	
162	978000	834000	954000	1314000	1074000	714000	
163	975000	831000	951000	1311000	1071000	711000	
164	996000	828000	948000	1308000	1068000	828000	
165	993000	825000	945000	1305000	1065000	825000	
166	990000	822000	942000	1302000	1062000	822000	
167	987000	819000	939000	1299000	1059000	819000	
168	984000	816000	936000	1296000	1056000	816000	
169	1005000	813000	933000	1293000	1173000	813000	
170	1002000	810000	930000	1290000	1170000	810000	
171	1023000	807000	1047000	1287000	1167000	807000	
172	1044000	924000	1044000	1284000	1164000	804000	
173	1041000	921000	1041000	1281000	1161000	801000	
174	1038000	918000	1038000	1278000	1158000	798000	
175	1059000	1035000	1035000	1275000	1155000	795000	
176	1080000	1032000	1152000	1272000	1152000	792000	
177	1101000	1029000	1149000	1389000	1149000	789000	
178	1098000	1026000	1146000	1386000	1146000	786000	
179	1095000	1023000	1143000	1383000	1143000	783000	
180	1116000	1020000	1140000	1380000	1140000	9e+05	
181	1161000	1017000	1137000	1497000	1137000	1017000	
182	1206000	1014000	1134000	1614000	1254000	1014000	
183	1251000	1131000	1131000	1611000	1371000	1011000	
184	1248000	1128000	1128000	1608000	1368000	1008000	
185	1269000	1245000	1125000	1605000	1365000	1005000	
186	1290000	1242000	1122000	1602000	1362000	1122000	
187	1287000	1239000	1119000	1599000	1359000	1119000	
188	1284000	1236000	1116000	1596000	1356000	1116000	
189	1305000	1233000	1233000	1593000	1353000	1113000	
190	1302000	1230000	1230000	1590000	1350000	1110000	
191	1299000	1227000	1227000	1587000	1347000	1107000	
192	1320000	1344000	1224000	1584000	1344000	1104000	
193	1317000	1341000	1221000	1581000	1341000	1101000	
194	1338000	1338000	1218000	1698000	1338000	1098000	
195	1383000	1455000	1335000	1695000	1335000	1095000	
196	1380000	1452000	1332000	1692000	1332000	1092000	
197	1377000	1449000	1329000	1689000	1329000	1089000	
198	1374000	1446000	1326000	1686000	1326000	1086000	
199	1371000	1443000	1323000	1683000	1323000	1083000	
200	1368000	1440000	1320000	1680000	1320000	1080000	
201	1389000	1437000	1437000	1677000	1317000	1077000	
202	1410000	1554000	1434000	1674000	1314000	1074000	
203	1455000	1671000	1431000	1791000	1311000	1071000	
204	1452000	1668000	1428000	1788000	1308000	1068000	
205	1449000	1665000	1425000	1785000	1305000	1065000	
206	1494000	1662000	1422000	1902000	1302000	1182000	
207	1539000	1779000	1539000	1899000	1299000	1179000	
208	1536000	1776000	1536000	1896000	1296000	1176000	
209	1581000	1893000	1533000	2013000	1293000	1173000	
210	1602000	1890000	1530000	2010000	1410000	1170000	
211	1599000	1887000	1527000	2007000	1407000	1167000	
212	1596000	1884000	1524000	2004000	1404000	1164000	
213	1593000	1881000	1521000	2001000	1401000	1161000	
214	1590000	1878000	1518000	1998000	1398000	1158000	
215	1587000	1875000	1515000	1995000	1395000	1155000	
216	1608000	1872000	1632000	1992000	1392000	1152000	
217	1629000	1989000	1629000	1989000	1389000	1149000	
218	1650000	1986000	1626000	2106000	1386000	1146000	
219	1671000	1983000	1743000	2103000	1383000	1143000	
220	1716000	1980000	1860000	2220000	1380000	1140000	
221	1737000	1977000	1977000	2217000	1377000	1137000	
222	1734000	1974000	1974000	2214000	1374000	1134000	
223	1755000	1971000	1971000	2211000	1371000	1251000	
224	1752000	1968000	1968000	2208000	1368000	1248000	
225	1749000	1965000	1965000	2205000	1365000	1245000	
226	1770000	1962000	1962000	2202000	1482000	1242000	
