envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
139	1287000	1263000	1023000	1623000	1503000	1023000	
140	1284000	1260000	1020000	1620000	1500000	1020000	
141	1281000	1257000	1017000	1617000	1497000	1017000	
142	1302000	1374000	1014000	1614000	1494000	1014000	
143	1323000	1371000	1011000	1611000	1611000	1011000	
144	1320000	1368000	1008000	1608000	1608000	1008000	
145	1365000	1365000	1005000	1605000	1725000	1125000	
146	1410000	1362000	1122000	1602000	1842000	1122000	
147	1431000	1359000	1119000	1719000	1839000	1119000	
148	1452000	1356000	1116000	1836000	1836000	1116000	
149	1473000	1353000	1113000	1833000	1833000	1233000	
150	1470000	1350000	1110000	1830000	1830000	1230000	
151	1491000	1347000	1107000	1827000	1827000	1347000	
152	1512000	1344000	1104000	1824000	1944000	1344000	
153	1533000	1341000	1101000	1821000	2061000	1341000	
154	1554000	1338000	1218000	1818000	2058000	1338000	
155	1551000	1335000	1215000	1815000	2055000	1335000	
156	1572000	1332000	1212000	1812000	2052000	1452000	
157	1569000	1329000	1209000	1809000	2049000	1449000	
158	1566000	1326000	1206000	1806000	2046000	1446000	
159	1563000	1323000	1203000	1803000	2043000	1443000	
160	1560000	1320000	1200000	1800000	2040000	1440000	
161	1581000	1437000	1197000	1797000	2037000	1437000	
162	1578000	1434000	1194000	1794000	2034000	1434000	
163	1599000	1431000	1311000	1791000	2031000	1431000	
164	1596000	1428000	1308000	1788000	2028000	1428000	
165	1617000	1425000	1305000	1785000	2145000	1425000	
166	1614000	1422000	1302000	1782000	2142000	1422000	
167	1635000	1419000	1299000	1779000	2139000	1539000	
168	1656000	1416000	1296000	1776000	2256000	1536000	
169	1677000	1413000	1413000	1773000	2253000	1533000	
170	1674000	1410000	1410000	1770000	2250000	1530000	
171	1671000	1407000	1407000	1767000	2247000	1527000	
172	1692000	1404000	1404000	1884000	2244000	1524000	
173	1713000	1521000	1401000	1881000	2241000	1521000	
174	1734000	1638000	1398000	1878000	2238000	1518000	
175	1731000	1635000	1395000	1875000	2235000	1515000	
176	1752000	1632000	1392000	1872000	2232000	1632000	
177	1749000	1629000	1389000	1869000	2229000	1629000	
178	1770000	1746000	1386000	1866000	2226000	1626000	
179	1767000	1743000	1383000	1863000	2223000	1623000	
180	1764000	1740000	1380000	1860000	2220000	1620000	
181	1761000	1737000	1377000	1857000	2217000	1617000	
182	1830000	1854000	1494000	1854000	2214000	1734000	
183	1827000	1851000	1491000	1851000	2211000	1731000	
184	1824000	1848000	1488000	1848000	2208000	1728000	
185	1845000	1845000	1485000	1845000	2325000	1725000	
186	1842000	1842000	1482000	1842000	2322000	1722000	
187	1839000	1839000	1479000	1839000	2319000	1719000	
188	1836000	1836000	1476000	1836000	2316000	1716000	
189	1833000	1833000	1473000	1833000	2313000	1713000	
190	1830000	1830000	1470000	1830000	2310000	1710000	
191	1827000	1827000	1467000	1827000	2307000	1707000	
192	1824000	1824000	1464000	1824000	2304000	1704000	
193	1869000	1821000	1461000	1821000	2421000	1821000	
194	1866000	1818000	1458000	1818000	2418000	1818000	
195	1935000	1935000	1575000	1935000	2415000	1815000	
196	1980000	2052000	1692000	1932000	2412000	1812000	
197	1977000	2049000	1689000	1929000	2409000	1809000	
198	1998000	2166000	1686000	1926000	2406000	1806000	
199	2019000	2163000	1683000	1923000	2403000	1923000	
200	2016000	2160000	1680000	1920000	2400000	1920000	
201	2013000	2157000	1677000	1917000	2397000	1917000	
202	2034000	2154000	1794000	1914000	2394000	1914000	
203	2055000	2151000	1791000	1911000	2511000	1911000	
204	2076000	2148000	1908000	1908000	2508000	1908000	
205	2097000	2145000	1905000	1905000	2505000	2025000	
206	2094000	2142000	1902000	1902000	2502000	2022000	
207	2091000	2139000	1899000	1899000	2499000	2019000	
208	2088000	2136000	1896000	1896000	2496000	2016000	
209	2109000	2133000	1893000	1893000	2613000	2013000	
210	2106000	2130000	1890000	1890000	2610000	2010000	
211	2103000	2127000	1887000	1887000	2607000	2007000	
212	2124000	2124000	2004000	1884000	2604000	2004000	
213	2121000	2121000	2001000	1881000	2601000	2001000	
214	2118000	2118000	1998000	1878000	2598000	1998000	
215	2115000	2115000	1995000	1875000	2595000	1995000	
216	2160000	2112000	2112000	1992000	2592000	1992000	
217	2205000	2109000	2109000	2109000	2589000	2109000	
218	2226000	2106000	2226000	2106000	2586000	2106000	
219	2247000	2103000	2223000	2103000	2583000	2223000	
220	2244000	2100000	2220000	2100000	2580000	2220000	
221	2241000	2097000	2217000	2097000	2577000	2217000	
222	2238000	2094000	2214000	2094000	2574000	2214000	
223	2259000	2091000	2211000	2091000	2691000	2211000	
224	2256000	2088000	2208000	2088000	2688000	2208000	
225	2277000	2205000	2205000	2085000	2685000	2205000	
226	2322000	2202000	2322000	2202000	2682000	2202000	
227	2343000	2199000	2439000	2199000	2679000	2199000	
228	2364000	2196000	2436000	2316000	2676000	2196000	
229	2361000	2193000	2433000	2313000	2673000	2193000	
230	2358000	2190000	2430000	2310000	2670000	2190000	
231	2355000	2187000	2427000	2307000	2667000	2187000	
232	2376000	2184000	2424000	2304000	2664000	2304000	
233	2373000	2181000	2421000	2301000	2661000	2301000	
234	2394000	2178000	2418000	2298000	2658000	2418000	
235	2391000	2175000	2415000	2295000	2655000	2415000	
236	2436000	2172000	2412000	2292000	2772000	2532000	
237	2433000	2169000	2409000	2289000	2769000	2529000	
238	2430000	2166000	2406000	2286000	2766000	2526000	
239	2451000	2163000	2403000	2403000	2763000	2523000	
240	2448000	2160000	2400000	2400000	2760000	2520000	
241	2445000	2157000	2397000	2397000	2757000	2517000	
242	2466000	2154000	2394000	2394000	2754000	2634000	
243	2487000	2271000	2391000	2391000	2751000	2631000	
244	2532000	2388000	2388000	2508000	2748000	2628000	
245	2529000	2385000	2385000	2505000	2745000	2625000	
246	2526000	2382000	2382000	2502000	2742000	2622000	
247	2547000	2379000	2379000	2619000	2739000	2619000	
